Date,Open,High,Low,Close,Volume
2023-01-01,100.54,100.58,100.27,100.44,3720
2023-01-02,101.82,102.46,100.18,101.39,9905
2023-01-03,102.47,102.89,101.66,102.15,7047
2023-01-04,102.35,103.44,101.57,102.79,9032
2023-01-05,103.94,104.18,102.45,103.03,1001
2023-01-06,103.75,105.53,102.56,103.27,7368
2023-01-07,103.53,104.72,101.98,103.42,2949
2023-01-08,104.52,105.88,103.71,104.3,7732
2023-01-09,104.78,106.52,103.65,104.94,8833
2023-01-10,105.18,106.68,104.23,105.68,1917
2023-01-11,105.51,105.97,104.18,105.8,4174
2023-01-12,107.29,108.36,104.9,106.77,8014
2023-01-13,106.65,108.79,105.18,107.62,1089
2023-01-14,107.14,109.4,106.71,107.91,2709
2023-01-15,107.27,109.04,107.21,108.18,4041
2023-01-16,107.52,108.7,107.0,108.44,1105
2023-01-17,109.53,110.1,107.63,108.82,9619
2023-01-18,109.8,110.53,109.29,109.39,2895
2023-01-19,109.83,111.17,108.84,109.88,7090
2023-01-20,109.44,111.38,108.25,110.24,9508
2023-01-21,110.87,111.6,110.2,110.89,7082
2023-01-22,111.06,113.08,109.52,111.11,1634
2023-01-23,110.83,112.69,110.62,111.48,2925
2023-01-24,111.78,112.38,111.63,111.91,3056
2023-01-25,112.22,112.62,110.76,112.42,7917
2023-01-26,113.45,113.76,112.23,113.22,4144
2023-01-27,113.77,114.26,112.12,113.5,1552
2023-01-28,113.16,114.39,112.29,114.07,9907
2023-01-29,114.45,115.07,113.96,114.7,6383
2023-01-30,115.09,115.66,113.2,114.84,4911
2023-01-31,115.5,115.85,113.89,115.49,4389
2023-02-01,115.95,117.74,113.85,115.24,9442
2023-02-02,115.4,115.56,114.54,115.08,3430
2023-02-03,113.45,115.17,112.27,114.12,1458
2023-02-04,112.29,113.97,111.57,113.15,1207
2023-02-05,112.61,114.57,112.15,112.33,1899
2023-02-06,111.0,112.17,109.17,111.95,1021
2023-02-07,111.93,112.73,111.49,111.76,9601
2023-02-08,111.93,113.87,109.15,111.05,1894
2023-02-09,110.7,112.43,109.66,110.55,1514
2023-02-10,110.12,111.97,109.75,110.34,8294
2023-02-11,110.09,110.61,108.72,109.8,5904
2023-02-12,109.59,110.01,107.84,109.67,8867
2023-02-13,108.84,110.18,107.29,108.75,5109
2023-02-14,109.29,111.15,106.8,108.41,8179
2023-02-15,107.49,108.83,106.17,107.72,2560
2023-02-16,108.26,109.4,105.96,107.34,2266
2023-02-17,107.58,108.14,105.07,106.77,4638
2023-02-18,105.57,107.72,105.07,106.18,9941
2023-02-19,105.05,106.28,104.07,105.91,4427
2023-02-20,104.14,105.59,103.7,104.94,5780
2023-02-21,103.18,104.99,101.2,104.14,2927
2023-02-22,102.39,104.22,100.5,103.2,3356
2023-02-23,102.66,103.14,102.21,102.29,5790
2023-02-24,100.79,101.88,99.38,101.65,1306
2023-02-25,100.36,101.94,98.51,100.72,8979
2023-02-26,101.23,101.81,100.18,100.54,4665
2023-02-27,99.32,101.43,98.18,100.27,8057
