Date,Open,High,Low,Close,Volume
2023-01-02,99.81,100.82,99.12,100.25,474504
2023-01-03,99.53,100.46,99.1,100.18,276076
2023-01-04,101.0,101.77,100.25,100.5,319724
2023-01-05,101.87,102.06,100.44,101.26,474899
2023-01-06,102.13,102.45,100.35,101.15,156985
2023-01-09,100.86,101.46,100.17,101.03,412213
2023-01-10,101.56,102.33,101.29,101.82,414470
2023-01-11,102.75,102.99,101.61,102.2,208737
2023-01-12,101.65,102.08,101.29,101.97,312133
2023-01-13,103.1,103.71,102.15,102.24,254470
2023-01-16,102.73,103.02,101.09,102.01,329465
2023-01-17,101.64,102.36,101.5,101.78,150861
2023-01-18,102.4,102.55,100.95,101.9,438041
2023-01-19,101.45,101.93,100.49,100.94,312977
2023-01-20,99.29,100.61,99.1,100.08,227118
2023-01-23,100.61,100.66,99.26,99.8,430721
2023-01-24,99.3,99.64,98.42,99.29,296713
2023-01-25,100.1,100.23,98.72,99.45,109078
2023-01-26,98.63,99.05,97.82,98.99,424912
2023-01-27,99.08,100.07,97.63,98.29,151047
2023-01-30,98.8,99.34,98.11,99.02,433770
2023-01-31,97.93,99.72,97.08,98.91,419804
2023-02-01,99.75,100.0,98.69,98.94,335458
2023-02-02,97.41,98.91,96.92,98.23,495141
2023-02-03,97.6,98.72,97.38,97.96,315048
2023-02-06,98.91,99.51,97.02,98.01,336293
2023-02-07,98.34,98.81,96.5,97.44,217832
2023-02-08,97.77,98.18,97.58,97.62,492550
2023-02-09,97.58,97.93,96.61,97.32,225150
2023-02-10,97.08,98.11,96.15,97.18,257087
2023-02-13,96.47,97.71,96.29,96.88,133320
2023-02-14,97.46,98.77,96.89,97.8,427025
2023-02-15,98.15,98.27,96.88,97.8,190827
2023-02-16,97.77,98.5,97.24,97.27,464359
2023-02-17,98.26,99.2,96.98,97.68,359931
2023-02-20,97.65,97.83,96.77,97.07,496605
2023-02-21,96.35,97.24,95.43,97.17,423694
2023-02-22,96.18,96.93,95.21,96.19,124826
2023-02-23,94.65,96.1,93.71,95.53,200734
2023-02-24,95.73,96.57,95.16,95.63,257702
2023-02-27,95.88,96.14,95.02,96.0,329834
2023-02-28,96.86,97.66,95.24,96.08,277235
2023-03-01,95.72,96.22,95.4,96.02,198511
2023-03-02,95.1,96.03,94.27,95.87,373797
2023-03-03,94.42,95.29,94.38,95.13,259033
2023-03-06,95.29,96.1,94.17,94.77,181941
2023-03-07,94.78,95.45,94.31,94.54,305209
2023-03-08,94.27,95.59,94.15,95.07,395806
2023-03-09,94.41,95.6,94.33,95.24,198818
2023-03-10,94.76,95.64,93.66,94.36,252360
2023-03-13,93.68,94.92,93.34,94.53,353627
2023-03-14,95.28,96.1,93.92,94.64,195081
2023-03-15,94.87,95.31,94.39,94.46,136877
2023-03-16,94.73,95.95,94.41,95.57,473706
2023-03-17,96.28,97.57,95.74,97.11,311957
2023-03-20,99.51,99.81,97.75,98.54,172715
2023-03-21,97.95,98.95,97.63,98.2,241398
2023-03-22,98.13,98.89,97.5,98.39,210091
2023-03-23,99.85,100.08,98.33,99.22,232632
2023-03-24,101.59,102.49,100.08,100.7,441292
2023-03-27,101.69,102.07,100.49,100.72,183186
2023-03-28,101.54,102.08,101.01,101.03,262962
2023-03-29,100.17,101.33,99.3,100.42,251094
2023-03-30,98.9,100.35,98.88,99.73,485773
2023-03-31,101.59,101.71,100.17,101.04,170316
2023-04-03,103.02,103.96,102.37,102.9,128380
2023-04-04,103.17,103.95,102.23,103.32,210198
2023-04-05,105.64,105.97,104.03,104.83,364500
2023-04-06,104.91,105.83,103.91,105.69,170326
2023-04-07,105.53,106.33,105.18,105.54,454591
2023-04-10,105.43,107.03,104.66,106.41,214994
2023-04-11,108.38,108.97,107.98,108.44,320971
2023-04-12,108.02,109.8,107.54,108.91,382193
2023-04-13,110.21,111.76,109.58,110.97,467505
2023-04-14,108.09,109.0,107.22,108.85,378226
2023-04-17,110.48,110.79,109.2,110.18,362805
2023-04-18,111.25,111.5,109.99,110.76,268484
2023-04-19,111.13,111.87,110.54,110.96,365064
2023-04-20,112.48,112.51,111.14,111.56,345378
2023-04-21,109.82,110.64,109.08,110.07,441705
2023-04-24,109.92,111.11,109.68,110.35,371090
2023-04-25,111.95,112.83,111.1,111.21,325314
2023-04-26,112.63,113.52,112.28,113.18,335612
2023-04-27,114.09,114.91,112.87,113.16,378453
2023-04-28,111.88,112.97,111.58,112.86,155230
2023-05-01,113.79,114.64,112.62,112.85,473966
2023-05-02,113.36,114.4,113.32,114.27,474484
2023-05-03,115.88,116.28,115.08,115.1,159321
2023-05-04,115.13,115.93,114.08,115.07,232028
2023-05-05,117.07,117.22,115.65,116.08,331447
2023-05-08,115.83,116.91,115.45,116.68,436275
2023-05-09,118.26,118.98,117.47,118.15,388107
2023-05-10,118.89,119.61,117.73,117.95,201757
2023-05-11,118.17,118.81,117.17,118.12,461403
2023-05-12,118.49,119.18,117.44,118.23,401207
2023-05-15,117.65,118.19,117.17,117.26,476369
2023-05-16,117.97,118.31,117.55,118.06,478544
2023-05-17,119.08,119.43,117.94,118.82,442962
2023-05-18,119.49,119.67,118.38,119.32,366847
2023-05-19,120.39,121.3,119.12,119.59,296200
2023-05-22,117.97,119.46,117.36,118.88,172099
2023-05-23,118.23,119.07,118.06,118.67,262932
2023-05-24,119.4,119.86,117.51,118.5,131585
2023-05-25,118.88,119.83,117.87,118.1,143585
2023-05-26,117.93,118.17,116.99,118.02,389102
2023-05-29,118.46,119.05,117.57,118.22,388161
2023-05-30,118.71,119.67,118.1,119.16,486821
2023-05-31,118.63,119.86,118.12,119.25,391570
2023-06-01,119.31,119.4,119.08,119.38,379922
2023-06-02,119.05,120.21,118.87,119.34,276313
