Date,Open,High,Low,Close,Volume
2022-01-03,99.06,99.8,97.82,98.69,237337
2022-01-04,99.52,99.79,98.06,99.25,352709
2022-01-05,99.12,99.39,97.39,99.11,358795
2022-01-06,99.84,99.79,98.35,98.36,229981
2022-01-07,98.79,100.05,98.07,98.95,373538
2022-01-10,99.77,99.84,98.38,99.02,274073
2022-01-11,99.51,99.94,98.54,99.02,486502
2022-01-12,98.84,100.15,98.59,99.99,308261
2022-01-13,98.65,100.3,98.52,100.28,302283
2022-01-14,98.9,100.4,99.12,99.46,123247
2022-01-17,100.04,101.11,98.82,100.79,336584
2022-01-18,99.4,100.13,98.69,99.2,279262
2022-01-19,99.91,100.77,98.25,100.0,400804
2022-01-20,99.42,100.94,98.17,98.71,489622
2022-01-21,100.16,100.51,98.87,99.97,124538
2022-01-24,99.53,100.56,97.74,98.56,473133
2022-01-25,99.26,100.4,98.38,98.46,353618
2022-01-26,100.25,100.25,98.42,98.93,298286
2022-01-27,98.5,100.6,98.61,98.92,479989
2022-01-28,99.34,100.23,98.83,98.87,125939
2022-01-31,100.32,101.09,98.66,100.49,144262
2022-02-01,99.33,100.77,99.12,99.23,121959
2022-02-02,100.15,100.8,98.78,99.3,265838
2022-02-03,98.75,100.67,98.71,99.12,314283
2022-02-04,99.05,100.2,98.45,99.02,193264
2022-02-07,99.67,100.16,98.18,99.37,225657
2022-02-08,99.63,100.77,98.55,99.81,481050
2022-02-09,99.3,100.48,98.02,100.14,122671
2022-02-10,98.69,100.66,98.5,98.4,411955
2022-02-11,98.69,100.2,97.68,98.18,184896
2022-02-14,99.46,99.68,97.77,99.14,401528
2022-02-15,98.2,100.04,98.12,99.81,247443
2022-02-16,97.6,99.44,97.67,99.21,217796
2022-02-17,99.06,99.15,97.17,99.08,483029
2022-02-18,97.59,99.71,97.28,97.75,284423
2022-02-21,98.61,99.02,97.85,98.9,412252
2022-02-22,97.77,99.02,97.09,97.95,235059
2022-02-23,98.79,99.92,97.89,98.72,381974
2022-02-24,99.44,99.23,97.39,98.45,499111
2022-02-25,98.83,99.85,97.77,98.23,271836
2022-02-28,99.54,100.0,97.93,98.09,287563
2022-03-01,98.79,99.45,97.51,99.87,224019
2022-03-02,99.86,99.95,98.27,98.79,354079
2022-03-03,97.89,100.09,97.32,98.17,104014
2022-03-04,98.3,99.75,97.62,99.02,297392
2022-03-07,97.91,99.2,97.48,98.62,319963
2022-03-08,99.53,99.94,97.93,99.23,368799
2022-03-09,98.92,100.15,98.24,98.64,224862
2022-03-10,98.81,99.26,97.76,98.3,155609
2022-03-11,98.68,99.14,97.8,98.26,351451
2022-03-14,100.79,101.57,99.15,99.49,311810
2022-03-15,101.23,101.42,99.06,100.31,445757
2022-03-16,99.75,101.18,99.01,99.62,368093
2022-03-17,99.92,101.44,98.91,99.45,379040
2022-03-18,100.51,100.23,98.96,99.92,129375
2022-03-21,99.38,100.59,98.42,99.03,167215
2022-03-22,100.29,99.93,98.52,98.68,406063
2022-03-23,99.2,99.85,98.26,98.6,159101
2022-03-24,98.65,100.58,97.74,98.16,472370
2022-03-25,99.49,100.17,97.81,98.5,151991
2022-03-28,99.42,100.57,98.1,98.53,301660
2022-03-29,99.32,100.6,98.11,100.47,431593
2022-03-30,98.43,100.06,98.47,99.59,127350
2022-03-31,99.78,99.66,98.27,98.14,165953
2022-04-01,99.95,100.27,98.23,98.16,160692
2022-04-04,98.41,100.03,97.52,98.7,214352
2022-04-05,99.12,99.13,97.3,98.51,406955
2022-04-06,99.01,99.43,97.25,97.7,474032
2022-04-07,97.6,99.29,97.6,97.51,295004
2022-04-08,99.01,100.78,98.78,100.27,295967
2022-04-11,99.18,99.56,98.38,99.08,449652
2022-04-12,98.54,99.21,96.67,97.15,252617
2022-04-13,99.18,99.98,97.32,99.24,101542
2022-04-14,98.42,99.55,97.91,99.41,314532
2022-04-15,98.91,99.23,96.79,97.63,268152
2022-04-18,98.59,99.27,97.33,98.14,348683
2022-04-19,97.55,98.97,96.95,96.59,240507
2022-04-20,98.57,99.11,96.8,98.68,405062
2022-04-21,97.76,99.66,97.32,98.93,465477
2022-04-22,99.61,99.59,97.35,98.76,334286
2022-04-25,98.78,100.17,98.1,99.61,214065
2022-04-26,98.56,99.63,98.25,99.96,210133
2022-04-27,100.13,99.78,98.45,100.01,488043
2022-04-28,98.62,99.89,98.45,99.58,464167
