Date,Open,High,Low,Close,Volume
2024-03-01,200.97,201.03,199.99,200.07,325033
2024-03-02,200.41,201.44,199.44,201.21,409128
2024-03-03,201.55,203.67,201.47,203.18,225446
2024-03-04,202.32,202.87,199.58,200.53,484690
2024-03-05,201.22,201.48,200.78,201.12,247571
2024-03-06,201.52,201.8,200.5,201.28,371854
2024-03-07,201.04,201.73,199.71,200.15,440454
2024-03-08,199.68,202.01,199.63,201.1,293521
2024-03-09,201.61,202.38,201.52,201.62,484641
2024-03-10,202.35,202.77,201.72,202.43,263175
2024-03-11,202.58,202.82,200.19,200.95,432137
2024-03-12,201.88,202.61,201.12,201.78,478869
2024-03-13,202.69,202.73,200.58,201.2,437464
2024-03-14,200.91,201.59,199.92,200.89,350463
2024-03-15,200.57,200.87,198.55,199.23,413273
2024-03-16,198.87,199.44,197.42,197.82,223758
2024-03-17,197.4,197.97,197.33,197.45,423036
2024-03-18,197.31,197.63,195.57,196.41,451226
2024-03-19,195.61,195.71,195.54,195.67,418813
2024-03-20,196.31,197.83,196.08,197.08,479448
2024-03-21,196.15,196.94,194.75,194.81,423875
2024-03-22,195.27,195.37,194.04,194.73,243904
2024-03-23,194.66,195.63,192.34,193.15,404882
2024-03-24,194.02,196.39,193.11,195.83,391104
2024-03-25,195.6,195.89,195.04,195.39,358006
2024-03-26,195.06,196.06,193.01,193.17,258174
2024-03-27,193.65,195.77,193.09,194.95,286948
2024-03-28,194.23,194.98,193.35,194.53,473487
2024-03-29,195.14,196.67,194.29,196.13,283756
2024-03-30,196.96,199.12,195.98,198.32,276113
2024-03-31,198.92,200.88,198.7,200.54,331379
2024-04-01,201.16,201.65,199.31,200.1,406953
2024-04-02,199.75,200.08,198.26,198.66,287611
2024-04-03,198.56,198.84,197.64,197.76,324233
2024-04-04,196.82,198.02,196.21,197.85,291040
2024-04-05,198.12,198.96,196.2,196.51,206453
2024-04-06,195.94,197.76,195.0,197.22,439568
2024-04-07,197.87,198.68,196.79,197.02,338951
2024-04-08,196.1,196.7,195.24,195.28,420709
2024-04-09,194.94,197.08,194.54,196.75,377698
2024-04-10,197.05,199.12,196.35,198.65,295925
2024-04-11,198.44,198.85,196.02,196.54,292503
2024-04-12,197.37,197.86,195.57,195.77,427650
2024-04-13,195.39,195.66,194.17,195.0,364490
2024-04-14,194.45,195.34,194.39,194.4,450081
2024-04-15,194.52,194.71,194.41,194.49,390161
2024-04-16,194.47,195.25,193.57,193.74,433661
2024-04-17,192.96,195.52,192.67,194.7,366302
2024-04-18,193.89,195.33,193.2,194.9,291464
2024-04-19,194.2,195.58,193.2,194.91,415317
2024-04-20,195.89,196.95,194.98,196.35,409199
2024-04-21,196.02,197.21,195.89,196.97,247167
2024-04-22,197.25,199.64,196.46,198.76,374077
2024-04-23,197.91,200.16,197.47,199.71,204509
2024-04-24,200.0,200.24,198.72,199.47,285511
2024-04-25,199.98,200.43,197.96,198.52,323982
2024-04-26,198.76,200.11,198.07,199.77,419465
2024-04-27,198.93,199.36,198.26,199.14,393454
2024-04-28,198.69,199.85,197.89,198.99,444846
2024-04-29,198.81,199.51,198.32,198.56,373230
2024-04-30,199.34,200.17,198.76,199.97,326308
2024-05-01,199.98,200.84,199.9,200.52,496341
2024-05-02,200.96,201.57,200.8,200.84,340140
2024-05-03,200.1,200.97,199.2,200.58,305535
2024-05-04,201.02,201.09,200.14,200.38,387458
2024-05-05,201.02,201.27,199.29,200.04,495930
2024-05-06,200.65,202.81,200.17,202.05,221083
2024-05-07,201.72,203.56,200.93,203.32,416071
2024-05-08,203.29,204.43,202.6,204.06,345009
2024-05-09,204.53,205.06,202.19,202.62,241183
2024-05-10,202.49,202.57,200.25,200.82,384353
2024-05-11,200.65,201.43,200.05,200.31,256762
2024-05-12,199.59,202.1,198.85,201.51,402284
2024-05-13,200.85,203.48,200.82,202.65,437917
2024-05-14,202.6,203.22,201.68,202.41,423718
2024-05-15,202.45,203.12,201.84,202.56,264574
2024-05-16,202.5,203.26,201.35,201.77,489919
2024-05-17,202.6,205.47,201.9,204.48,282459
2024-05-18,203.53,203.78,202.11,202.74,202376
2024-05-19,202.0,202.5,199.98,200.15,489549
2024-05-20,200.12,200.71,197.95,198.47,432428
2024-05-21,198.51,199.12,197.05,197.23,350026
2024-05-22,197.32,197.61,195.18,195.8,285965
2024-05-23,194.97,195.43,192.6,193.25,294276
2024-05-24,193.12,193.43,190.87,191.63,481215
2024-05-25,191.49,193.42,190.65,193.41,489408
2024-05-26,194.19,195.47,193.39,195.38,311504
2024-05-27,195.28,197.37,194.99,197.23,445807
2024-05-28,196.9,197.78,196.28,197.19,338910
2024-05-29,197.73,200.08,197.22,199.15,373731
2024-05-30,199.3,201.54,198.63,201.02,441194
2024-05-31,201.87,202.84,201.75,202.48,387064
2024-06-01,201.98,202.4,200.1,200.46,415387
2024-06-02,200.66,201.06,198.32,198.8,396046
2024-06-03,197.82,200.16,197.75,199.21,298160
2024-06-04,198.91,199.8,198.13,199.69,305689
2024-06-05,199.26,201.02,198.77,201.01,496619
2024-06-06,201.7,202.93,201.6,202.49,257481
2024-06-07,201.85,201.92,200.34,201.33,229635
2024-06-08,200.37,201.28,199.97,200.8,305380
2024-06-09,200.75,201.45,200.57,200.73,297400
2024-06-10,201.63,202.55,199.28,199.76,304635
2024-06-11,199.6,200.03,198.31,198.5,306214
2024-06-12,198.5,199.47,198.17,199.09,414754
2024-06-13,198.42,199.91,198.36,199.65,313472
2024-06-14,198.85,201.62,198.38,200.65,395199
2024-06-15,201.15,203.38,200.5,202.68,346397
2024-06-16,202.18,202.33,200.96,201.29,354486
2024-06-17,200.64,202.3,200.26,202.07,222658
2024-06-18,201.7,203.23,201.68,202.67,497124
2024-06-19,203.12,205.22,202.76,205.0,219944
2024-06-20,205.63,205.79,203.29,203.79,496445
2024-06-21,203.54,204.31,202.17,202.4,412562
2024-06-22,201.67,203.46,200.86,202.76,383443
2024-06-23,202.63,203.38,200.36,201.08,337870
2024-06-24,200.51,201.71,200.17,201.71,318258
2024-06-25,200.78,202.53,199.91,202.2,446177
2024-06-26,202.7,203.18,200.87,201.15,382096
2024-06-27,201.5,202.43,200.59,201.39,489991
2024-06-28,202.09,203.38,201.7,202.69,265206
2024-06-29,202.82,205.06,202.32,204.8,440930
2024-06-30,203.94,204.73,202.49,202.62,255421
2024-07-01,201.97,202.79,201.61,202.5,457990
2024-07-02,201.88,202.21,201.28,201.32,336125
2024-07-03,201.89,202.32,201.02,201.39,344636
2024-07-04,202.16,203.5,201.64,202.63,467872
2024-07-05,203.02,203.41,200.71,201.12,210837
2024-07-06,200.98,201.57,199.89,200.82,392556
2024-07-07,200.01,201.26,199.07,200.41,377671
2024-07-08,201.35,202.12,200.06,200.08,449755
2024-07-09,199.78,200.15,199.34,199.86,245835
2024-07-10,200.53,202.43,199.78,201.52,267465
2024-07-11,201.65,203.37,200.84,202.74,322956
2024-07-12,203.47,205.35,202.57,204.76,381822
2024-07-13,205.43,207.82,204.8,207.37,336819
2024-07-14,207.9,209.19,207.59,209.11,322367
2024-07-15,208.43,208.77,206.49,206.78,394234
2024-07-16,205.94,206.9,203.46,204.2,378067
2024-07-17,204.52,204.7,202.14,203.03,240769
2024-07-18,202.59,203.45,202.09,202.16,214356
2024-07-19,201.28,203.47,200.45,202.64,481972
2024-07-20,203.22,204.83,202.44,204.37,264698
2024-07-21,204.28,205.97,204.13,205.33,305769
2024-07-22,205.34,206.08,204.88,204.88,423695
2024-07-23,204.59,204.71,203.26,203.88,491955
2024-07-24,204.13,204.76,201.99,202.14,350178
2024-07-25,203.1,203.93,202.7,203.32,247523
2024-07-26,204.19,205.0,202.23,202.26,317801
2024-07-27,202.83,203.77,201.63,202.38,307777
2024-07-28,201.45,201.82,199.54,200.22,465163
2024-07-29,200.33,201.25,198.9,199.53,292358
2024-07-30,200.27,201.0,198.34,199.19,277928
2024-07-31,199.14,201.06,198.48,200.87,453042
